Full name,Category,Link,Profile keywords,Full bio,Star rating,Number of reviews,Cameo video price,Cameo chat price,Response times (hours),Tags,FF Full name,FF Profile keywords,FF Celebrity rating,FF Main category rating,"Wikipedia Traffic
(Avg. daily)",Cost Effectiveness METRIC,Cost Effectiveness RANK,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers
Jerry West,Athletes,https://www.cameo.com/jerrywest,NBA Hall of Famer - LA Lakers,,5.0,10,444.0,2.99,12.07,"#Athletes, #Basketball, #Coaches, #Featured, #Hall of Famers, #Los Angeles Clippers, #Los Angeles Lakers",Jerry West,Basketball,3563.0,92,1502,0.632,"2,257",0,0,1,0,0,0,0,0,0,0,0
Richard Tyson,Actors,https://www.cameo.com/richardtyson,Actor - Black Hawk Down,"You may know me from Two Moon Junction, Three o’clock High, Kindergarten Cop, Black Hawk Down & many others. Looking forward to making someone’s day better!!",5.0,4,74.0,2.99,96.95,"#Actors, #Movies, #TV",Richard Tyson,Actor,21393.0,6247,708,0.632,"2,258",1,0,0,0,0,0,0,0,0,0,0
Billy Boyd,Actors,https://www.cameo.com/billyboyd,"Actor - Lord of the Rings, Outlander","The official Cameo of Actor & Musician Billy Boyd (Lord of the Rings, Outlander, Seed of Chucky etc)",5.0,126,150.0,2.99,35.96,"#Actors, #Comic-Con, #Personalities, #Featured, #Lord of the Rings, #Movies, #Outlander, #TV",Billy Boyd (actor),Actor,10554.0,3789,1001,0.632,"2,259",1,0,0,0,0,0,0,0,0,0,0
Colton Dunn,Actors,https://www.cameo.com/coltondunn,Actor - Comedian - Writer - Producer - Superstore,I’m Colton Dunn. I play Garrett on NBC’s Superstore. I’m a cool guy who likes to have a good time. I’ll give you a shout out or your friend a shout out. Hit me up!,5.0,88,80.0,2.99,66.56,"#Actors, #Comedians, #More, #Writers",Colton Dunn,Person,19795.0,532,526,0.631,"2,260",1,0,0,0,0,0,0,0,0,0,0
Cody Linley,Actors,https://www.cameo.com/codylinley,Actor - Hannah Montana,Actor🎭 I’m happy to record a personalized message for ya! cameo.com/codylinley,5.0,4,75.0,2.99,37.49,"#Actors, #Disney, #TV",Cody Linley,Actor,21131.0,6195,308,0.631,"2,261",1,0,0,0,0,0,0,0,0,0,0
Alexa Curtis,Musicians,https://www.cameo.com/alexa_curtis,Radio Host,"Blogger & former host of Fearless Everyday on Radio Disney! You can find out more about me at @alexa_curtis, can’t wait to connect with you! xx",5.0,2,20.0,2.99,31.58,"#Actors, #Disney, #More, #Podcast, #Radio",Alexa Curtis,Musician,79253.0,9525,32,0.631,"2,262",0,0,0,0,0,0,0,1,0,0,0
Chase Litton,Athletes,https://www.cameo.com/chaseboogie,NFL - Kansas City Chiefs,Kansas City Chiefs QB Tampa FL IG: chaselitton,5.0,2,20.0,2.99,166.00,"#Athletes, #Football, #Kansas City Chiefs",Chase Litton,NFL,79253.0,2823,15,0.631,"2,262",0,0,1,0,0,0,0,0,0,0,0
Austin French,Musicians,https://www.cameo.com/austinfrench,Musician,"Follower of Jesus, Husband, Father, Worship Craver, Artist. Shine Bright Into the Darkness. Matt 5:13-16. #WinterJam2020",5.0,10,20.0,4.99,97.01,#Musicians,Austin French,Musician,79253.0,9525,32,0.631,"2,262",0,0,0,0,0,0,0,1,0,0,0
Chris Clark,Musicians,https://www.cameo.com/chrisjclark_,Reality TV Star - The Only Way Is Essex,For all bookings and enquiries please contact lauren@bold-management.com,0.0,0,20.0,2.99,166.01,"#Actors, #Bloggers, #Personalities, #Lifestyle, #Models, #Reality TV, #TV",Chris Clark (musician),Musician,79253.0,9525,52,0.631,"2,262",0,0,0,0,0,0,0,1,0,0,0
Christian Colón,Athletes,https://www.cameo.com/ccreds24,MLB - Cincinnati Reds,Cincinnati Reds Infielder 2010 KC Royals First Round Pick 2015 World Series CHAMP,5.0,10,20.0,2.99,87.20,"#Athletes, #Baseball, #Cincinnati Reds, #Kansas City Royals",Christian Colón,Baseball,79253.0,1311,195,0.631,"2,262",0,0,1,0,0,0,0,0,0,0,0
Andreas Kisser,Musicians,https://www.cameo.com/andreaskisser,Guitarist - Sepultura,Musician- Guitar Player SEPULTURA KISSER CLAN DE LA TIERRA METAL ALIEGANCE HAIL,5.0,11,35.0,9.99,16.05,"#Guitarists, #Metal, #Musicians",Andreas Kisser,Musician,45324.0,5301,182,0.63,"2,267",0,0,0,0,0,0,0,1,0,0,0
Dean Cameron,Actors,https://www.cameo.com/deancameron,Actor,I’m the guy who was in that thing a long time ago and that other thing recently.,4.85,13,35.0,2.99,93.86,#Actors,Dean Cameron,Actor,45324.0,10073,258,0.63,"2,267",1,0,0,0,0,0,0,0,0,0,0
Adam Irigoyen,Public Figures,https://www.cameo.com/adamirigoyen,"Actor - Away, Shake It Up",same guy. different headphones.,5.0,2,35.0,2.99,95.36,"#Actors, #Disney, #Netflix, #TV",Adam Irigoyen,Public Figure,45324.0,8928,164,0.63,"2,267",0,0,0,0,0,0,0,0,0,1,0
Mike Leach,Athletes,https://www.cameo.com/mikeleach,Football Coach,"Football Coach & Author of NY Times Best Seller, Swing Your Sword. Former Coach at Texas Tech & Washington State University.",4.97,65,150.0,2.99,48.74,"#Athletes, #Authors, #Coaches, #Featured, #Football, #More, #NCAA, #Texas Tech, #Washington State University",Mike Leach (American football coach),College,10576.0,38,496,0.63,"2,270",0,0,1,0,0,0,0,0,0,0,0
Mo B. Dick,Musicians,https://www.cameo.com/themobdick,Rapper,An instrument of The Most High Creator • SU Human Jukebox Alumni • ΠΛΨ • ΚΚΨ • /G\ • ΩΨΦ • Beats By The Pound • ♋️,5.0,3,25.0,2.99,166.00,"#Hip Hop, #Musicians",Mo B. Dick,Musician,63460.0,7554,754,0.63,"2,271",0,0,0,0,0,0,0,1,0,0,0
Haystak,Musicians,https://www.cameo.com/haystak,Musician,,4.97,38,25.0,2.99,29.37,"#Country Music, #Hip Hop, #Indie, #Musicians, #Rappers",Haystak,Musician,63460.0,7554,93,0.63,"2,271",0,0,0,0,0,0,0,1,0,0,0
Sam Pancake,Public Figures,https://www.cameo.com/thesampancake,Actor - Legally Blonde 2,yes it's my real name,5.0,4,25.0,2.99,78.65,#Actors,Sam Pancake,Public Figure,63460.0,12426,122,0.63,"2,271",0,0,0,0,0,0,0,0,0,1,0
Patrick Maroon,Athletes,https://www.cameo.com/bigrig7,NHL - Tampa Bay Lightning,NHL Hockey Player Tampa Bay Lightning Stanley Cup champion 2019 Stanley Cup champion 2020 BACK TO BACK,4.96,80,60.0,10.99,18.73,"#Anaheim Ducks, #Athletes, #Edmonton Oilers, #Hockey, #Tampa Bay Lightning",Patrick Maroon,Ice,26449.0,134,317,0.63,"2,274",0,0,1,0,0,0,0,0,0,0,0
Jonny Labey,Actors,https://www.cameo.com/jonnylabey,Singer,,5.0,1,30.0,2.99,9.35,"#Actors, #Musicians, #Singer/Songwriter",Jonny Labey,Person,52935.0,1753,39,0.63,"2,275",1,0,0,0,0,0,0,0,0,0,0
Ian Ziering,Actors,https://www.cameo.com/ianziering,Actor - 90210,SWAMP THINGS’s Daniel Cassidy. SHARKNADO’s Fin Shepard. BEVERLY HILLS 90210’s Steve Sanders.,5.0,66,200.0,19.99,51.59,"#Actors, #Beverly Hills 90210, #Comic-Con, #Personalities, #Dancing with the Stars, #DC, #Featured, #Movies, #Reality TV, #Sitcom, #The Apprentice, #TV, #Video Game Actors, #Voice Actors",Ian Ziering,Actor,7950.0,3079,980,0.629,"2,276",1,0,0,0,0,0,0,0,0,0,0
Kyle Sloter,Athletes,https://www.cameo.com/kylesloter,NFL - Arizona Cardinals,"Atlanta,GA ➡️ Arizona Cardinals QB",5.0,13,50.0,2.99,63.31,"#Arizona Cardinals, #Athletes, #Football",Kyle Sloter,NFL,31829.0,1038,107,0.628,"2,277",0,0,1,0,0,0,0,0,0,0,0
Scott Robinson,Musicians,https://www.cameo.com/scottrobinsonofficial,Singer - FIVE,Hi guys Scott from five here if you would like a video message or a direct message from me then you've come to the right place and I will be happy to send your birthday congratulations videos and more,5.0,34,33.0,9.99,19.94,"#Boy Bands, #Musicians",Scott Robinson (singer),Musician,48244.0,5648,194,0.628,"2,278",0,0,0,0,0,0,0,1,0,0,0
Bomani Jones,Personalities,https://www.cameo.com/bomani_jones,Sports Journalist & Host,i work at espn. that’s probably why someone would care about me.,5.0,21,70.0,19.99,22.28,"#Athletes, #Commentators, #More, #Sports Reporters",Bomani Jones,Presenter,22763.0,5,374,0.628,"2,279",0,0,0,0,0,0,0,0,1,0,0
D-Von Dudley,Athletes,https://www.cameo.com/dvondudley,Professional Wrestler,,5.0,20,70.0,2.99,78.00,"#Athletes, #Pro Wrestlers",D-Von Dudley,Professional,22763.0,416,442,0.628,"2,279",0,0,1,0,0,0,0,0,0,0,0
Chris Thompson,Athletes,https://www.cameo.com/supdaily,Twitch - IRL,Need someone to deliver a message to someone? Want some advice for you or your friend? A song? Shout out? I am your dude!,5.0,6,35.0,5.99,66.19,"#Gamers, #Twitch Streamers",Chris Thompson (running back),NFL,45545.0,1549,120,0.627,"2,281",0,0,1,0,0,0,0,0,0,0,0
Amy Hill,Actors,https://www.cameo.com/amyhillactor,Actress- Voice Actor- Stand up Comedian,"Currently as “Kumu” on Magnum PI on CBS. Grandma on Amazon Prime’s Kung Fu Panda, “Mama P” on Just Add Magic. Over 178 credits on IMDB. Can’t do endorsements.",5.0,44,75.0,2.99,11.40,"#Actors, #Comedians, #Disney, #Voice Actors",Amy Hill,Actor,21258.0,6221,719,0.627,"2,282",1,0,0,0,0,0,0,0,0,0,0
Antony Cotton,Actors,https://www.cameo.com/antonycotton,British Actor - Coronation Street,"Antony Cotton is an English actor, best known as Sean Tully in Coronation Street and as Alexander Perry in the original Queer as Folk series.",5.0,61,45.0,10.99,30.25,"#Actors, #British, #TV",Antony Cotton,Actor,35465.0,8678,228,0.627,"2,283",1,0,0,0,0,0,0,0,0,0,0
Maria Canals-Barrera,Actors,https://www.cameo.com/maria_cb,Actress - Wizards of Waverly Place,,5.0,22,45.0,2.99,55.00,"#Actors, #Disney, #TV, #Voice Actors",Maria Canals-Barrera,Actor,35465.0,8678,467,0.627,"2,283",1,0,0,0,0,0,0,0,0,0,0
Tyler Medeiros,Musicians,https://www.cameo.com/tylermedeiros,Singer/Songwriter,"23 year old Singer/Songwriter born and raised in TORONTO, ONTARIO.",0.0,0,10.0,2.99,166.04,"#Musicians, #Singer/Songwriter",Tyler Medeiros,Musician,159608.0,18370,19,0.627,"2,285",0,0,0,0,0,0,0,1,0,0,0
Ali Brustofski,Musicians,https://www.cameo.com/alibrustofski,YouTube Star - Singer,#singer #songwriter #youtuber #NY ✕ Twitter: @alibrustofski ✕ Snapchat: ali-brustofski ✕ Youtube.com/AllisonBrustofski Listen on @Spotify🎵↓,5.0,3,10.0,2.99,17.76,"#Personalities, #Musicians, #Singer/Songwriter, #Youtube",Ali Brustofski,Musician,159608.0,18370,15,0.627,"2,285",0,0,0,0,0,0,0,1,0,0,0
Monty Ioane,Athletes,https://www.cameo.com/montyioane,Pro Australian Rugby Player,Instagram: montyioane Pro athlete Ink collector Fashion,4.5,2,10.0,2.99,166.00,"#Athletes, #Benetton Rugby, #Rugby",Monty Ioane,Rugby,159608.0,1553,16,0.627,"2,285",0,0,1,0,0,0,0,0,0,0,0
Carla Hall,Chefs,https://www.cameo.com/carlahall,Chef - The Chew,I genuinely LOVE people. I think that's my super power.,5.0,111,125.0,2.99,124.66,"#Bravo, #Chefs, #Food, #Food Network, #More, #Reality TV, #Top Chef",Carla Hall,Chef,12771.0,35,709,0.626,"2,288",0,0,0,0,1,0,0,0,0,0,0
Garcelle Beauvais,Actors,https://www.cameo.com/garcelle,"Actress - The Jamie Foxx Show, NYPD Blue - RHOBH","Actress - ""Fancy"" on The Jamie Foxx Show, & Valerie Heywood on NYPD Blue. Joined Season 10 of Bravo's Real Housewives of Beverly Hills. Also a producer, author, host, humanitarian, & a proud Haitian. *No promotional requests.",4.92,13,125.0,2.99,166.05,"#Actors, #Models, #Real Housewives, #Reality TV, #TV",Garcelle Beauvais,Actor,12771.0,4338,2586,0.626,"2,288",1,0,0,0,0,0,0,0,0,0,0
Z LaLa,Musicians,https://www.cameo.com/zlala,,,5.0,1,30.0,2.99,97.07,"#Musicians, #Singer/Songwriter",Z LaLa,Musician,53230.0,6268,7,0.626,"2,290",0,0,0,0,0,0,0,1,0,0,0
William Michael Morgan,Musicians,https://www.cameo.com/williammichaelmorgan,Country Singer,,5.0,17,30.0,2.99,126.07,"#Country Music, #Musicians, #Singer/Songwriter",William Michael Morgan,Musician,53230.0,6268,31,0.626,"2,290",0,0,0,0,0,0,0,1,0,0,0
Chuck Wicks,Musicians,https://www.cameo.com/chuckwicks,Entertainer,Singer/Songwriter Entertainer Syndicated Morning Show Co-Host Dancing with the Stars Alum Outdoorsman,5.0,3,50.0,2.99,165.81,#Musicians,Chuck Wicks,Musician,31941.0,3657,130,0.626,"2,292",0,0,0,0,0,0,0,1,0,0,0
Matt Hamilton,Athletes,https://www.cameo.com/hamscurl,Olympic Curler,I am the curler with the famous stache and an Olympic gold medal! Looking for energy and creativeness? I’m your guy!,5.0,18,25.0,1.99,150.70,"#Athletes, #Olympics",Matt Hamilton (curler),Curler,63889.0,16,16,0.626,"2,293",0,0,1,0,0,0,0,0,0,0,0
Tamer Hassan,Actors,https://www.cameo.com/tamerhassan,Actor - Kickass,Actor,5.0,2,100.0,2.99,78.83,"#Actors, #Game of Thrones, #HBO, #TV",Tamer Hassan,Actor,15973.0,5093,533,0.626,"2,294",1,0,0,0,0,0,0,0,0,0,0
